D15-1073	3	2
D15-1074	2	1
D15-1078	6	3
D15-1082	6	1
D15-1083	2	1
D15-1084	3	2
D15-1089	3	1
D15-1097	6	1
D15-1109	4	1
D15-1121	3	1
D15-1130	4	2
D15-1131	4	3
D15-1153	2	1
D15-1165	5	1
D15-1174	6	1
D15-1190	4	1
D15-1192	3	1
D15-1195	4	1
D15-1196	4	1
D15-1201	3	2
D15-1208	2	1
D15-1211	5	4
D15-1218	5	4
D15-1233	3	2
D15-1250	5	2
D15-1255	2	1
D15-1256	2	1
D15-1258	2	1
D15-1259	5	4
D15-1267	3	1
D15-1268	6	1
D15-1269	7	5
D15-1272	4	2
D15-1288	4	1
D15-1302	6	3
D15-1303	3	2
D15-1309	4	1
D15-1310	3	2
D16-1013	6	1
D16-1025	4	1
D16-1026	5	1
D16-1029	4	1
D16-1033	4	1
D16-1034	4	1
D16-1036	8	1
D16-1039	4	3
D16-1044	6	1
D16-1045	2	1
D16-1047	3	2
D16-1048	4	1
D16-1063	5	3
D16-1067	5	2
D16-1068	3	1
D16-1070	3	2
D16-1071	3	1
D16-1086	4	1
D16-1094	3	1
D16-1099	2	1
D16-1104	5	4
D16-1106	4	1
D16-1120	3	1
D16-1123	3	1
D16-1124	2	1
D16-1128	3	1
D16-1129	2	1
D16-1136	5	1
D16-1149	5	1
D16-1154	4	1
D16-1169	3	2
D16-1171	5	1
D16-1177	8	1
D16-1184	4	1
D16-1188	3	1
D16-1190	5	1
D16-1217	8	2
D16-1224	5	1
D16-1255	3	1
D16-1256	3	1
D16-1263	6	1
D17-1024	3	1
D17-1030	2	1
D17-1035	2	1
D17-1043	4	1
D17-1055	6	1
D17-1056	4	1
D17-1070	5	4
D17-1084	4	2
D17-1087	4	3
D17-1098	4	2
D17-1110	4	1
D17-1141	4	1
D17-1144	2	1
D17-1145	4	1
D17-1147	3	1
D17-1152	7	1
D17-1155	5	3
D17-1163	6	2
D17-1169	5	1
D17-1181	2	1
D17-1186	4	1
D17-1188	2	1
D17-1193	5	1
D17-1217	3	2
D17-1218	5	1
D17-1220	5	3
D17-1228	4	2
D17-1231	4	1
D17-1234	5	4
D17-1240	7	3
D17-1245	3	1
D17-1248	3	1
D17-1249	4	1
D17-1250	6	2
D17-1255	3	1
D17-1260	5	2
D17-1262	4	3
D17-1263	3	2
D17-1264	2	1
D17-1288	2	1
D17-1293	5	2
D17-1294	5	4
D17-1298	4	1
D17-1302	4	1
D17-1304	7	4
D17-1307	2	1
D17-1312	3	2
D17-1320	2	1
D17-1321	4	1
D17-2002	6	1
D17-2004	2	1
D17-2005	4	1
D17-2006	6	1
D17-2007	9	3
D17-2008	2	1
D17-2009	6	1
D17-2010	6	2
D17-2012	2	1
D17-2014	8	1
D17-2017	3	2
E12-1004	4	3
E12-1013	3	1
E12-1014	4	1
E12-1017	5	1
E12-1028	2	1
E12-1030	2	1
E12-1039	3	1
E12-1056	2	1
E12-1057	4	1
E12-1058	3	1
E12-1059	6	1
E12-1066	2	1
E12-1072	3	1
E12-1073	3	1
E12-1079	3	1
E12-2006	7	3
E12-2008	3	2
E14-1008	3	2
E14-1009	2	1
E14-1018	3	2
E14-1021	3	1
E14-1023	5	1
E14-1035	4	1
E14-1036	2	1
E14-1061	4	3
E14-1069	2	1
E14-1070	3	2
E14-1073	3	1
E14-1074	5	1
E14-3010	2	1
E14-4002	4	1
E14-4010	2	1
E14-4017	4	1
E14-4025	5	1
E14-4029	4	3
E14-4039	2	1
E17-1003	2	1
E17-1007	3	2
E17-1012	4	1
E17-1017	8	7
E17-1024	5	4
E17-1031	2	1
E17-1040	4	1
E17-1045	4	1
E17-1046	4	3
E17-1049	3	2
E17-1051	3	2
E17-1055	2	1
E17-1057	3	2
E17-1066	2	1
E17-1082	5	2
E17-1084	5	1
E17-1092	2	1
E17-1093	7	3
E17-1103	5	1
E17-1106	7	2
E17-1111	3	2
E17-2015	3	2
E17-2032	6	2
E17-2035	4	3
E17-2040	3	2
E17-2077	8	7
E17-2079	2	1
E17-2084	3	2
E17-2090	3	1
E17-2091	2	1
