P10-1082	1	ling.gu.se:1.00
P10-1083	2	stanford.edu:1.00
P10-1084	2	berkeley.edu:1.00
P10-1085	4	gmail.com:0.25;baidu.com:0.50;hit.edu.cn:0.25
P10-1086	3	nrc.ca:1.00
P10-1087	2	mpi-inf.mpg.de:1.00
P10-1088	2	jhu.edu:1.00
P10-1089	3	ualberta.ca:0.33;upenn.edu:0.33;google.com:0.33
P10-1090	3	i2r.a-star.edu.sg:1.00
P10-1091	2	udel.edu:0.50;earlham.edu:0.50
P10-1092	1	udel.edu:1.00
P10-1093	2	kit.edu:0.50;fzi.de:0.50
P10-1094	3	icst.pku.edu.cn:1.00
P10-1095	3	bgu.ac.il:1.00
P10-1096	2	harvard.edu:1.00
P10-1097	3	coli.uni-saarland.de:1.00
P10-1098	2	mmci.uni-saarland.de:1.00
P10-1099	2	temple.edu:1.00
P10-1100	3	coli.uni-saarland.de:1.00
P10-1101	4	uiuc.edu:1.00
P10-1102	1	cmu.edu:1.00
P10-1103	3	ed.ac.uk:0.33;hw.ac.uk:0.67
P10-1104	2	uchicago.edu:1.00
P10-1105	2	berkeley.edu:1.00
P10-1106	2	toronto.edu:1.00
P10-1107	3	mit.edu:0.67;isi.edu:0.33
P10-1108	3	isi.edu:0.67;tu-dresden.de:0.33
P10-1109	1	urv.cat:1.00
P10-1110	2	isi.edu:0.50;usc.edu:0.50
P10-1111	4	ims.uni-stuttgart.de:0.50;coli.uni-sb.de:0.25;computing.dcu.ie:0.25
P10-1112	2	berkeley.edu:1.00
P10-1113	3	suda.edu.cn:1.00
P10-1114	2	uni-weimar.de:1.00
P10-1115	3	uiuc.edu:0.67;umich.edu:0.33
P10-1116	3	coli.uni-saarland.de:1.00
P10-1117	1	science.mq.edu.au:1.00
P10-1118	4	
P10-1119	2	ucsd.edu:1.00
P10-1120	1	
P10-1121	4	umn.edu:0.25;mit.edu:0.50;ohio-state.edu:0.25
P10-1122	3	illinois.edu:1.00
P10-1123	3	cs.biu.ac.il:0.67;ims.uni-stuttgart.de:0.33
P10-1124	3	post.tau.ac.il:0.33;cs.biu.ac.il:0.33;eng.biu.ac.il:0.33
P10-1125	5	insun.hit.edu.cn:1.00
P10-1126	2	sms.ed.ac.uk:0.50;inf.ed.ac.uk:0.50
P10-1127	2	dcs.shef.ac.uk:1.00
P10-1128	3	cl.cs.titech.ac.jp:1.00
P10-1129	3	mit.edu:1.00
P10-1130	3	stanford.edu:0.33;google.com:0.67
P10-1131	2	berkeley.edu:1.00
P10-1132	3	cs.huji.ac.il:1.00
P10-1133	2	alice.nc.huji.ac.il:0.50;cs.huji.ac.il:0.50
P10-1134	2	di.uniroma1.it:1.00
P10-1135	2	rug.nl:1.00
P10-1136	1	microsoft.com:1.00
P10-1137	3	cse.iitb.ac.in:1.00
P10-1138	3	gmail.com:0.33;lsi.uned.es:0.33;bec.uned.es:0.33
P10-1139	4	se.cuhk.edu.hk:1.00
P10-1140	2	uic.edu:1.00
P10-1141	2	wlv.ac.uk:1.00
P10-1142	1	utdallas.edu:1.00
P10-1143	2	
P10-1144	2	isi.edu:0.50;ub.edu:0.50
P10-1145	2	ict.ac.cn:1.00
P10-1146	1	isi.edu:1.00
P10-1147	2	berkeley.edu:1.00
P10-1148	3	kaist.ac.kr:1.00
P10-1149	2	talukdar.net:0.50;google.com:0.50
P10-1150	2	isi.edu:1.00
P10-1151	2	udc.es:0.50;lingfil.uu.se:0.50
P10-1152	2	cmu.edu:1.00
P10-1153	4	toronto.edu:0.50;gmail.com:0.50
P10-1154	2	cl.uni-heidelberg.de:0.50;di.uniroma1.it:0.50
P10-1155	4	cse.iitb.ac.in:1.00
P10-1156	2	columbia.edu:1.00
P10-1157	7	eng.cam.ac.uk:1.00
P10-1158	2	sms.ed.ac.uk:0.50;inf.ed.ac.uk:0.50
P10-1159	2	mmci.uni-saarland.de:1.00
P10-1160	2	msu.edu:1.00
P10-2001	3	nict.go.jp:1.00
